Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",79.121000,-105.346500,90.000000,top
"C2","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.970500,-99.504500,180.000000,top
"C3","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",91.948000,-105.777000,270.000000,top
"C4","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",96.329500,-99.441000,180.000000,top
"C5","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",97.345500,-108.888500,270.000000,top
"C6","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",116.332000,-98.425000,0.000000,top
"C7","20p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.252500,-92.773500,0.000000,top
"C8","20p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",110.666500,-92.710000,0.000000,top
"C9","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",118.949500,-80.137000,180.000000,top
"C10","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",113.143000,-109.664500,0.000000,top
"C11","2.2u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.193500,-105.410000,0.000000,top
"C12","2.2u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.537500,-112.195500,270.000000,top
"C13","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",114.504500,-95.567500,0.000000,top
"C14","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",103.060500,-93.027500,0.000000,top
"C15","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",94.502000,-84.010500,180.000000,top
"C16","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",113.587500,-80.137000,0.000000,top
"C17","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",88.505000,-84.010500,180.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.054500,-77.851000,0.000000,top
"G***","LOGO","Kung_Fu_Flash_Logo",89.281000,-91.376500,0.000000,top
"J2","USB_B_Micro","Conn_USBmicro-B_ebay-side_TH",135.564000,-86.468000,90.000000,top
"Q1","BC817","SOT-23",83.312000,-115.713000,270.000000,top
"R1","510R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",123.244500,-80.200500,0.000000,top
"R2","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",119.625000,-100.393500,0.000000,top
"R3","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.988500,-111.633000,180.000000,top
"R4","510R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.344000,-111.633000,0.000000,top
"R5","510R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.220000,-76.526500,270.000000,top
"R6","510R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.598500,-76.526500,270.000000,top
"RN1","100R","R_Array_Convex_4x0603",115.386000,-115.813000,90.000000,top
"RN2","100R","R_Array_Convex_4x0603",124.961500,-115.835000,90.000000,top
"SW1","Reset","SW_PUSH_6mm_H8mm",123.675000,-70.358000,0.000000,top
"SW2","Menu","SW_PUSH_6mm_H8mm",112.331500,-70.366500,0.000000,top
"SW3","Special","SW_PUSH_6mm_H8mm",79.606000,-70.366500,0.000000,top
"U1","C64-Exp-Port","C64-Cart",75.688000,-130.059501,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",85.559500,-104.076500,0.000000,top
"U3","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",106.362500,-102.171500,270.000000,top
"XS1","uSD_push_push","Conn_uSDcard",99.184000,-70.148500,180.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",114.240000,-89.154000,180.000000,top
